log(f),phase_angle,T,t,incl,vel
1.6110366337977975,-79.67,0.0,0.0,60.0,70.0
1.3727024076004237,-79.35,0.0,0.0,60.0,70.0
1.1502555218199482,-78.92,0.0,0.0,60.0,70.0
0.9178894532378521,-78.24,0.0,0.0,60.0,70.0
0.6921466802263617,-77.51,0.0,0.0,60.0,70.0
0.46058440732924394,-76.58,0.0,0.0,60.0,70.0
0.23665190133900194,-75.51,0.0,0.0,60.0,70.0
-0.0010005003335835344,-74.17,0.0,0.0,60.0,70.0
-0.23281517101094082,-72.64,0.0,0.0,60.0,70.0
-0.45665314487759767,-70.97,0.0,0.0,60.0,70.0
-0.6851790109107684,-69.08,0.0,0.0,60.0,70.0
-0.9147918557504191,-67.04,0.0,0.0,60.0,70.0
-1.149800325437543,-64.89,0.0,0.0,60.0,70.0
-1.3783261914707137,-62.86,0.0,0.0,60.0,70.0
-1.6079390363103645,-61.01,0.0,0.0,60.0,70.0
-1.8394802054394668,-59.48,0.0,0.0,60.0,70.0
-2.071473372030659,-58.38,0.0,0.0,60.0,70.0
-2.3005870903313728,-57.71,0.0,0.0,60.0,70.0
-2.532627385999412,-57.36,0.0,0.0,60.0,70.0
-2.761925774071528,-57.17,0.0,0.0,60.0,70.0
-2.993135647706725,-57.03,0.0,0.0,60.0,70.0
-3.2231348817885843,-56.78,0.0,0.0,60.0,70.0
-3.4536492416645794,-56.24,0.0,0.0,60.0,70.0
-3.6840909373821393,-55.32,0.0,0.0,60.0,70.0
-3.914025008098819,-53.96,0.0,0.0,60.0,70.0
-4.144585778658848,-52.19,0.0,0.0,60.0,70.0
-4.374852430925881,-50.05,0.0,0.0,60.0,70.0
-4.605170185988091,-47.55,0.0,0.0,60.0,70.0
11.513924965303312,-1.087,980.0,15.0,60.0,70.0
11.282883171964862,-0.9997,980.0,15.0,60.0,70.0
11.053109762111983,-1.025,980.0,15.0,60.0,70.0
10.82377030567982,-1.179,980.0,15.0,60.0,70.0
10.593880944899452,-1.273,980.0,15.0,60.0,70.0
10.36217742188159,-1.482,980.0,15.0,60.0,70.0
10.133408088129361,-1.777,980.0,15.0,60.0,70.0
9.90448705286921,-2.045,980.0,15.0,60.0,70.0
9.673445259530762,-2.48,980.0,15.0,60.0,70.0
9.442245428958966,-2.976,980.0,15.0,60.0,70.0
9.21830854162536,-3.498,980.0,15.0,60.0,70.0
8.989194823324645,-4.154,980.0,15.0,60.0,70.0
8.75273950944749,-5.257,980.0,15.0,60.0,70.0
8.520388082312756,-6.328,980.0,15.0,60.0,70.0
8.290041618704489,-7.736,980.0,15.0,60.0,70.0
8.061802274538348,-9.25,980.0,15.0,60.0,70.0
7.8351837552667485,-11.2,980.0,15.0,60.0,70.0
7.588829878307813,-13.82,980.0,15.0,60.0,70.0
7.363913501405819,-16.59,980.0,15.0,60.0,70.0
7.143617602704121,-19.64,980.0,15.0,60.0,70.0
6.90605383234238,-23.56,980.0,15.0,60.0,70.0
6.680729200403702,-27.69,980.0,15.0,60.0,70.0
6.442221644407853,-32.72,980.0,15.0,60.0,70.0
6.225548038460526,-37.41,980.0,15.0,60.0,70.0
5.986452005284438,-42.77,980.0,15.0,60.0,70.0
5.754158681981268,-47.91,980.0,15.0,60.0,70.0
5.5310151306670585,-52.62,980.0,15.0,60.0,70.0
5.291292751611072,-57.29,980.0,15.0,60.0,70.0
5.0651234793803255,-61.24,980.0,15.0,60.0,70.0
4.833102254034098,-64.77,980.0,15.0,60.0,70.0
4.609162207257629,-67.69,980.0,15.0,60.0,70.0
4.3694478524670215,-70.34,980.0,15.0,60.0,70.0
4.148517041110494,-72.37,980.0,15.0,60.0,70.0
3.9094196195580313,-74.12,980.0,15.0,60.0,70.0
3.681854839176972,-75.59,980.0,15.0,60.0,70.0
3.4553698605505483,-76.74,980.0,15.0,60.0,70.0
3.2160718975354663,-77.7,980.0,15.0,60.0,70.0
2.9887076586170265,-78.46,980.0,15.0,60.0,70.0
2.7625383863862796,-79.03,980.0,15.0,60.0,70.0
2.517696472610991,-79.46,980.0,15.0,60.0,70.0
2.2956611779212213,-79.72,980.0,15.0,60.0,70.0
2.072542799988679,-79.88,980.0,15.0,60.0,70.0
1.8432444119165634,-79.94,980.0,15.0,60.0,70.0
1.6110366337977975,-79.9,980.0,15.0,60.0,70.0
1.3727024076004237,-79.76,980.0,15.0,60.0,70.0
1.1502555218199482,-79.53,980.0,15.0,60.0,70.0
0.9178894532378521,-79.09,980.0,15.0,60.0,70.0
0.6921466802263617,-78.63,980.0,15.0,60.0,70.0
0.46058440732924394,-78.04,980.0,15.0,60.0,70.0
0.23665190133900194,-77.35,980.0,15.0,60.0,70.0
-0.0010005003335835344,-76.5,980.0,15.0,60.0,70.0
-0.23281517101094082,-75.54,980.0,15.0,60.0,70.0
-0.45665314487759767,-74.49,980.0,15.0,60.0,70.0
-0.6851790109107684,-73.32,980.0,15.0,60.0,70.0
-0.9147918557504191,-72.02,980.0,15.0,60.0,70.0
-1.149800325437543,-70.56,980.0,15.0,60.0,70.0
-1.3783261914707137,-69.02,980.0,15.0,60.0,70.0
-1.6079390363103645,-67.34,980.0,15.0,60.0,70.0
-1.8394802054394668,-65.55,980.0,15.0,60.0,70.0
-2.071473372030659,-63.74,980.0,15.0,60.0,70.0
-2.3005870903313728,-61.97,980.0,15.0,60.0,70.0
-2.532627385999412,-60.27,980.0,15.0,60.0,70.0
-2.761925774071528,-58.66,980.0,15.0,60.0,70.0
-2.993135647706725,-57.33,980.0,15.0,60.0,70.0
-3.2231348817885843,-56.19,980.0,15.0,60.0,70.0
-3.4536492416645794,-55.16,980.0,15.0,60.0,70.0
-3.6840909373821393,-54.16,980.0,15.0,60.0,70.0
-3.914025008098819,-53.03,980.0,15.0,60.0,70.0
-4.144585778658848,-51.71,980.0,15.0,60.0,70.0
-4.374852430925881,-50.07,980.0,15.0,60.0,70.0
-4.605170185988091,-48.18,980.0,15.0,60.0,70.0
