I,V,T,t,incl,vel
3.493e-06,-0.443,0.0,0.0,0.0,0.0
3.478e-06,-0.4428,0.0,0.0,0.0,0.0
3.471e-06,-0.4427,0.0,0.0,0.0,0.0
3.465e-06,-0.4425,0.0,0.0,0.0,0.0
3.451e-06,-0.4423,0.0,0.0,0.0,0.0
3.446e-06,-0.4422,0.0,0.0,0.0,0.0
3.436e-06,-0.442,0.0,0.0,0.0,0.0
3.421e-06,-0.4419,0.0,0.0,0.0,0.0
3.418e-06,-0.4417,0.0,0.0,0.0,0.0
3.409e-06,-0.4415,0.0,0.0,0.0,0.0
3.398e-06,-0.4413,0.0,0.0,0.0,0.0
3.39e-06,-0.4412,0.0,0.0,0.0,0.0
3.382e-06,-0.441,0.0,0.0,0.0,0.0
3.371e-06,-0.4408,0.0,0.0,0.0,0.0
3.36e-06,-0.4407,0.0,0.0,0.0,0.0
3.355e-06,-0.4405,0.0,0.0,0.0,0.0
3.341e-06,-0.4403,0.0,0.0,0.0,0.0
3.334e-06,-0.4402,0.0,0.0,0.0,0.0
3.326e-06,-0.44,0.0,0.0,0.0,0.0
3.318e-06,-0.4398,0.0,0.0,0.0,0.0
3.311e-06,-0.4397,0.0,0.0,0.0,0.0
3.301e-06,-0.4395,0.0,0.0,0.0,0.0
3.293e-06,-0.4393,0.0,0.0,0.0,0.0
3.285e-06,-0.4392,0.0,0.0,0.0,0.0
3.276e-06,-0.439,0.0,0.0,0.0,0.0
3.268e-06,-0.4388,0.0,0.0,0.0,0.0
3.257e-06,-0.4387,0.0,0.0,0.0,0.0
3.247e-06,-0.4385,0.0,0.0,0.0,0.0
3.241e-06,-0.4383,0.0,0.0,0.0,0.0
3.234e-06,-0.4382,0.0,0.0,0.0,0.0
3.226e-06,-0.438,0.0,0.0,0.0,0.0
3.215e-06,-0.4378,0.0,0.0,0.0,0.0
3.208e-06,-0.4377,0.0,0.0,0.0,0.0
3.203e-06,-0.4375,0.0,0.0,0.0,0.0
3.192e-06,-0.4373,0.0,0.0,0.0,0.0
3.184e-06,-0.4372,0.0,0.0,0.0,0.0
3.177e-06,-0.437,0.0,0.0,0.0,0.0
3.169e-06,-0.4368,0.0,0.0,0.0,0.0
3.158e-06,-0.4367,0.0,0.0,0.0,0.0
3.15e-06,-0.4365,0.0,0.0,0.0,0.0
3.14e-06,-0.4363,0.0,0.0,0.0,0.0
3.134e-06,-0.4362,0.0,0.0,0.0,0.0
3.127e-06,-0.436,0.0,0.0,0.0,0.0
3.115e-06,-0.4358,0.0,0.0,0.0,0.0
3.112e-06,-0.4357,0.0,0.0,0.0,0.0
3.101e-06,-0.4356,0.0,0.0,0.0,0.0
3.092e-06,-0.4353,0.0,0.0,0.0,0.0
3.088e-06,-0.4352,0.0,0.0,0.0,0.0
3.079e-06,-0.4351,0.0,0.0,0.0,0.0
3.07e-06,-0.4349,0.0,0.0,0.0,0.0
3.065e-06,-0.4347,0.0,0.0,0.0,0.0
3.059e-06,-0.4346,0.0,0.0,0.0,0.0
3.05e-06,-0.4344,0.0,0.0,0.0,0.0
